k,alpha,jacobian_sr,stable
0.125,0.2375,0.1593714248462649,1
0.125,0.2479,0.15687392045808612,1
0.125,0.2583,0.1543817715474912,1
0.125,0.2688,0.1518949287979634,1
0.125,0.2792,0.14941334280956825,1
0.125,0.2896,0.14693696412156165,1
0.125,0.3,0.14446574323440253,1
0.1375,0.05,0.2270782519392916,1
0.1375,0.0604,0.2244731579604013,1
0.1375,0.0708,0.2218737209366604,1
0.1375,0.0812,0.2192799053047551,1
0.1375,0.0917,0.21669167505769274,1
0.1375,0.1021,0.214108993765359,1
0.1375,0.1125,0.21153182459498793,1
0.1375,0.1229,0.2089601303315112,1
0.1375,0.1333,0.2063938733977839,1
0.1375,0.1438,0.20383301587464553,1
0.1375,0.1542,0.20127751952082162,1
0.1375,0.1646,0.1987273457926247,1
0.1375,0.175,0.19618245586345665,1
0.1375,0.1854,0.19364281064307606,1
0.1375,0.1958,0.19110837079664073,1
0.1375,0.2062,0.18857909676348228,1
0.1375,0.2167,0.18605494877562573,1
0.1375,0.2271,0.18353588687601485,1
0.1375,0.2375,0.18102187093645977,1
0.1375,0.2479,0.17851286067526967,1
0.1375,0.2583,0.1760088156745748,1
0.1375,0.2688,0.17350969539732858,1
0.1375,0.2792,0.17101545920397185,1
0.1375,0.2896,0.16852606636876316,1
0.1375,0.3,0.16604147609575406,1
0.15,0.05,0.24886023420713554,1
0.15,0.0604,0.24625263076925125,1
0.15,0.0708,0.24365022848449797,1
0.15,0.0812,0.24105299767212685,1
0.15,0.0917,0.23846090830065075,1
0.15,0.1021,0.23587393000238463,1
0.15,0.1125,0.23329203208794885,1
0.15,0.1229,0.2307151835606988,1
0.15,0.1333,0.22814335313109016,1
0.15,0.1438,0.22557650923094308,1
0.15,0.1542,0.22301462002762204,1
0.15,0.1646,0.22045765343809048,1
0.15,0.175,0.21790557714285774,1
0.15,0.1854,0.21535835859978042,1
0.15,0.1958,0.21281596505773934,1
0.15,0.2062,0.21027836357014443,1
0.15,0.2167,0.20774552100830077,1
0.15,0.2271,0.20521740407458824,1
0.15,0.2375,0.20269397931548272,1
0.15,0.2479,0.20017521313437547,1
0.15,0.2583,0.19766107180421477,1
0.15,0.2688,0.19515152147994644,1
0.15,0.2792,0.1926465282107493,1
0.15,0.2896,0.19014605795206385,1
0.15,0.3,0.18765007657740268,1
0.1625,0.05,0.2706430591014528,1
0.1625,0.0604,0.26803332693987036,1
0.1625,0.0708,0.2654284079625098,1
0.1625,0.0812,0.2628282770283378,1
0.1625,0.0917,0.2602329087144537,1
0.1625,0.1021,0.25764227732667316,1
0.1625,0.1125,0.2550563569100741,1
0.1625,0.1229,0.2524751212595114,1
0.1625,0.1333,0.24989854393008887,1
0.1625,0.1438,0.24732659824757194,1
0.1625,0.1542,0.24475925731875192,1
0.1625,0.1646,0.24219649404173138,1
0.1625,0.175,0.23963828111614777,1
0.1625,0.1854,0.2370845910533051,1
0.1625,0.1958,0.23453539618622943,1
0.1625,0.2062,0.2319906686796223,1
0.1625,0.2167,0.22945038053972494,1
0.1625,0.2271,0.22691450362406554,1
0.1625,0.2375,0.22438300965110977,1
0.1625,0.2479,0.22185587020978675,1
0.1625,0.2583,0.21933305676889936,1
0.1625,0.2688,0.21681454068641143,1
0.1625,0.2792,0.21430029321860194,1
0.1625,0.2896,0.2117902855290903,1
0.1625,0.3,0.20928448869772326,1
0.175,0.05,0.29242654743586727,1
0.175,0.0604,0.28981498678200585,1
0.175,0.0708,0.2872079051092641,1
0.175,0.0812,0.2846052808521027,1
0.175,0.0917,0.2820070922151855,1
0.175,0.1021,0.27941331718125473,1
0.175,0.1125,0.2768239335189856,1
0.175,0.1229,0.2742389187908225,1
0.175,0.1333,0.2716582503607883,1
0.175,0.1438,0.26908190540226085,1
0.175,0.1542,0.2665098609057122,1
0.175,0.1646,0.26394209368641,1
0.175,0.175,0.2613785803920668,1
0.175,0.1854,0.25881929751044397,1
0.175,0.1958,0.2562642213768984,1
0.175,0.2062,0.2537133281818722,1
0.175,0.2167,0.25116659397831287,1
0.175,0.2271,0.24862399468903842,1
0.175,0.2375,0.24608550611401855,1
0.175,0.2479,0.2435511039375917,1
0.175,0.2583,0.2410207637356006,1
0.175,0.2688,0.23849446098244576,1
0.175,0.2792,0.23597217105806,1
0.175,0.2896,0.2334538692547919,1
0.175,0.3,0.23093953078420268,1
0.1875,0.05,0.31421056746010423,1
0.1875,0.0604,0.31159741923525264,1
0.1875,0.0708,0.3089884591188883,1
0.1875,0.0812,0.3063836684110419,1
0.1875,0.0917,0.30378302822200653,1
0.1875,0.1021,0.3011865194783162,1
0.1875,0.1125,0.2985941229287166,1
0.1875,0.1229,0.29600581915012014,1
0.1875,0.1333,0.2934215885535477,1
0.1875,0.1438,0.2908414113900452,1
0.1875,0.1542,0.2882652677565849,1
0.1875,0.1646,0.2856931376019327,1
0.1875,0.175,0.2831250007324891,1
0.1875,0.1854,0.28056083681809724,1
0.1875,0.1958,0.2780006253978169,1
0.1875,0.2062,0.2754443458856539,1
0.1875,0.2167,0.2728919775762585,1
0.1875,0.2271,0.27034349965056637,1
0.1875,0.2375,0.26779889118140965,1
0.1875,0.2479,0.26525813113906055,1
0.1875,0.2583,0.2627211983967402,1
0.1875,0.2688,0.26018807173606207,1
0.1875,0.2792,0.2576587298524257,1
0.1875,0.2896,0.25513315136035397,1
0.1875,0.3,0.25261131479876014,1
0.2,0.05,0.3359950201390119,1
0.2,0.0604,0.3333804806064964,1
0.2,0.0708,0.33076987373760963,1
0.2,0.0812,0.328163183163856,1
0.2,0.0917,0.3255603923583077,1
0.2,0.1021,0.32296148464022356,1
0.2,0.1125,0.3203664431796644,1
0.2,0.1229,0.31777525100209925,1
0.2,0.1333,0.3151878909930073,1
0.2,0.1438,0.3126043459024559,1
0.2,0.1542,0.31002459834967605,1
0.2,0.1646,0.30744863082760554,1
0.2,0.175,0.3048764257074337,1
0.2,0.1854,0.30230796524309916,1
0.2,0.1958,0.2997432315757875,1
0.2,0.2062,0.29718220673838425,1
0.2,0.2167,0.294624872659915,1
0.2,0.2271,0.29207121116994356,1
0.2,0.2375,0.2895212040029516,1
0.2,0.2479,0.2869748328026709,1
0.2,0.2583,0.2844320791263927,1
0.2,0.2688,0.2818929244492353,1
0.2,0.2792,0.2793573501683717,1
0.2,0.2896,0.2768253376072253,1
0.2,0.3,0.2742968680196106,1
0.2125,0.05,0.3577798295927198,1
0.2125,0.0604,0.3551640607498654,1
0.2125,0.0708,0.3525519984601084,1
0.2125,0.0812,0.3499436282770132,1
0.2125,0.0917,0.34733893562051305,1
0.2125,0.1021,0.3447379057805412,1
0.2125,0.1125,0.34214052392065125,1
0.2125,0.1229,0.3395467750816374,1
0.2125,0.1333,0.33695664418515,1
0.2125,0.1438,0.3343701160372918,1
0.2125,0.1542,0.3317871753322217,1
0.2125,0.1646,0.32920780665573035,1
0.2125,0.175,0.32663199448881175,1
0.2125,0.1854,0.32405972321121723,1
0.2125,0.1958,0.3214909771049975,1
0.2125,0.2062,0.3189257403580188,1
0.2125,0.2167,0.31636399706747026,1
0.2125,0.2271,0.3138057312433405,1
0.2125,0.2375,0.3112509268118824,1
0.2125,0.2479,0.308699567619048,1
0.2125,0.2583,0.3061516374339033,1
0.2125,0.2688,0.30360711995201634,1
0.2125,0.2792,0.3010659987988173,1
0.2125,0.2896,0.29852825753293316,1
0.2125,0.3,0.29599387964949364,1
0.225,0.05,0.37956493670361435,1
0.225,0.0604,0.37694807381785617,1
0.225,0.0708,0.37433471593566037,1
0.225,0.0812,0.3717248502135986,1
0.225,0.0917,0.3691184636945215,1
0.225,0.1021,0.3665155433104347,1
0.225,0.1125,0.3639160758853909,1
0.225,0.1229,0.36132004813836466,1
0.225,0.1333,0.35872744668613965,1
0.225,0.1438,0.35613825804617016,1
0.225,0.1542,0.35355246863945267,1
0.225,0.1646,0.3509700647933798,1
0.225,0.175,0.3483910327445907,1
0.225,0.1854,0.3458153586418078,1
0.225,0.1958,0.3432430285486672,1
0.225,0.2062,0.34067402844652656,1
0.225,0.2167,0.33810834423727637,1
0.225,0.2271,0.33554596174611917,1
0.225,0.2375,0.33298686672434785,1
0.225,0.2479,0.3304310448520969,1
0.225,0.2583,0.32787848174108697,1
0.225,0.2688,0.3253291629373438,1
0.225,0.2792,0.3227830739238982,1
0.225,0.2896,0.3202402001234772,1
0.225,0.3,0.3177005269011572,1
0.2375,0.05,0.4013502947303901,1
0.2375,0.0604,0.3987324519120501,1
0.2375,0.0708,0.39611793331674355,1
0.2375,0.0812,0.3935067274517896,1
0.2375,0.0917,0.39089882272693127,1
0.2375,0.1021,0.3882942074566599,1
0.2375,0.1125,0.38569286986254137,1
0.2375,0.1229,0.38309479807553243,1
0.2375,0.1333,0.38049998013830877,1
0.2375,0.1438,0.37790840400757486,1
0.2375,0.1542,0.3753200575563814,1
0.2375,0.1646,0.3727349285764245,1
0.2375,0.175,0.3701530047803496,1
0.2375,0.1854,0.36757427380404506,1
0.2375,0.1958,0.3649987232089261,1
0.2375,0.2062,0.3624263404842083,1
0.2375,0.2167,0.35985711304918144,1
0.2375,0.2271,0.3572910282554598,1
0.2375,0.2375,0.35472807338923296,1
0.2375,0.2479,0.35216823567349875,1
0.2375,0.2583,0.3496115022702848,1
0.2375,0.2688,0.34705786028286173,1
0.2375,0.2792,0.3445072967579361,1
0.2375,0.2896,0.34195979868783477,1
0.2375,0.3,0.3394153530126704,1
0.25,0.05,0.4231358662306346,1
0.25,0.0604,0.4205171406256375,1
0.25,0.0708,0.4179015761818764,1
0.25,0.0812,0.41528916255535775,1
0.25,0.0917,0.41267988931774674,1
0.25,0.1021,0.41007374595826995,1
0.25,0.1125,0.4074707218855982,1
0.25,0.1229,0.40487080642974715,1
0.25,0.1333,0.4022739888439658,1
0.25,0.1438,0.399680258306625,1
0.25,0.1542,0.39708960392310144,1
0.25,0.1646,0.3945020147276578,1
0.25,0.175,0.3919174796853252,1
0.25,0.1854,0.38933598769376876,1
